Frequency (Hz), Magnitude (dB), Magnitude (V/V), Vout (Vpeak), Vin(Vpeak), Phase (Rad),Phase (Degrees),,Magnitude - No Rs (V/V),Omega (f * 2pi),,Phase (No Rs),,Phase (Degrees)- No Rs
100,6.596867,2.137191,1.28963,0.603423,3.060147,175.3335078,,3.196520811,628.318,,3.022325208,,173.1664787
112.2,6.589621,2.135409,1.28996,0.604081,3.050311,174.7699465,,3.190674583,704.972796,,3.00793833,,172.3421713
125.9,6.579644,2.132957,1.290471,0.605015,3.039158,174.1309267,,3.183353734,791.052362,,2.99184893,,171.4203166
141.3,6.566696,2.12978,1.290964,0.606149,3.026664,173.4150732,,3.174190176,887.813334,,2.973856205,,170.3894094
158.5,6.551366,2.126025,1.291491,0.607468,3.012794,172.6203807,,3.162817813,995.88403,,2.953889721,,169.2454141
177.8,6.530978,2.12104,1.291859,0.609069,2.997268,171.7308065,,3.148675616,1117.149404,,2.931665062,,167.972035
199.5,6.506303,2.115023,1.292056,0.610895,2.97986,170.7334015,,3.131103924,1253.49441,,2.906926593,,166.5546251
223.9,6.474869,2.107383,1.292127,0.613143,2.960388,169.6177381,,3.109345948,1406.804002,,2.879456597,,164.9807103
251.2,6.436986,2.098212,1.291267,0.615413,2.938899,168.3865091,,3.082660991,1578.334816,,2.849196068,,163.2469097
281.8,6.388806,2.086605,1.289506,0.617992,2.915013,167.0179421,,3.050060475,1770.600124,,2.815922847,,161.3404946
316.2,6.329778,2.072473,1.286742,0.620873,2.888494,165.4985153,,3.010380111,1986.741516,,2.779392697,,159.2474712
354.8,6.256265,2.055007,1.282329,0.624002,2.859267,163.8239316,,2.962554763,2229.272264,,2.73957598,,156.9661413
398.1,6.16662,2.033906,1.275689,0.627211,2.827075,161.9794659,,2.905477753,2501.333958,,2.696464521,,154.4960367
446.7,6.05559,2.008073,1.266582,0.630745,2.791794,159.9580135,,2.838078683,2806.696506,,2.65010568,,151.8398707
501.2,5.922106,1.977449,1.25441,0.634358,2.753457,157.7614652,,2.759582473,3149.129816,,2.600725374,,149.0105876
562.3,5.76073,1.941049,1.238842,0.638233,2.711875,155.3789921,,2.669515943,3533.032114,,2.548648808,,146.0268202
631,5.565675,1.897946,1.219317,0.64244,2.667195,152.8190166,,2.567544086,3964.68658,,2.494164863,,142.90512
707.9,5.33446,1.848089,1.195558,0.646916,2.619628,150.0936283,,2.454629237,4447.863122,,2.438082893,,139.6918599
794.3,5.059252,1.790452,1.166828,0.651695,2.569308,147.2105047,,2.331473958,4990.729874,,2.380862276,,136.41336
891.3,4.74121,1.726078,1.133766,0.656845,2.516732,144.1981218,,2.199857191,5600.198334,,2.323286147,,133.1144908
1000,4.370133,1.65389,1.095377,0.662304,2.4624,141.0851275,,2.062204899,6283.18,,2.26621486,,129.844547
1122,3.945496,1.574979,1.052178,0.668059,2.406975,137.9095089,,1.920794586,7049.72796,,2.21028486,,126.639994
1259,3.465925,1.490377,1.004556,0.674028,2.351079,134.706904,,1.778148207,7910.52362,,2.156128893,,123.5370856
1413,2.931292,1.401408,0.953036,0.680056,2.295354,131.5140967,,1.636635779,8878.13334,,2.104258752,,120.5651455
1585,2.351284,1.310884,0.899214,0.68596,2.24073,128.384372,,1.499341339,9958.8403,,2.055410235,,117.7663316
1778,1.714751,1.218253,0.842727,0.69175,2.187731,125.347753,,1.36738209,11171.49404,,2.009615971,,115.1425136
1995,1.031399,1.126082,0.785281,0.697357,2.136795,122.4293352,,1.241910656,12534.9441,,1.966968298,,112.6989819
2239,0.305226,1.035765,0.72769,0.702563,2.088361,119.6542714,,1.123938368,14068.04002,,1.927552596,,110.4406286
2512,-0.527096,0.94112,0.665366,0.706994,2.042437,117.02302,,1.014579804,15783.34816,,1.891525583,,108.3764327
2818,-1.321656,0.85885,0.610807,0.711192,1.999912,114.586517,,0.913776573,17706.00124,,1.858695196,,106.4953902
3162,-2.158767,0.779941,0.557481,0.714774,1.960351,112.3198387,,0.821199367,19867.41516,,1.828822936,,104.7838357
3548,-3.007865,0.707305,0.507721,0.717825,1.923719,110.2209797,,0.736806541,22292.72264,,1.801795571,,103.2352818
3981,-3.876569,0.639988,0.461145,0.720553,1.889881,108.2822051,,0.660233028,25013.33958,,1.777420428,,101.838689
4467,-4.729814,0.580109,0.419266,0.722737,1.858474,106.4827165,,0.590963653,28066.96506,,1.755477327,,100.5814419
5012,-5.634882,0.522704,0.378806,0.724705,1.82995,104.8484117,,0.528537292,31491.29816,,1.735778854,,99.45280248
5623,-6.572554,0.469215,0.340688,0.72608,1.803551,103.3358604,,0.472416181,35330.32114,,1.718125066,,98.44131493
6310,-7.501014,0.421647,0.306589,0.727122,1.779545,101.960418,,0.421918285,39646.8658,,1.702279655,,97.53343977
7079,-8.462245,0.377475,0.274947,0.728385,1.757526,100.6988222,,0.376750149,44478.63122,,1.688134768,,96.72299745
7943,-9.406573,0.338588,0.246825,0.728983,1.737194,99.5338844,,0.33624312,49907.29874,,1.675469622,,95.99733806
8913,-10.287436,0.305934,0.223151,0.729409,1.717869,98.42664346,,0.299986786,56001.98334,,1.664147823,,95.34864677
10000,-11.245607,0.273981,0.200092,0.730315,1.700319,97.42110253,,0.267617179,62831.8,,1.654049887,,94.77007762
11220,-12.286694,0.243033,0.177385,0.729879,1.684027,96.48763969,,0.238687633,70497.2796,,1.645032311,,94.2534086
12590,-13.256802,0.21735,0.158721,0.730255,1.66865,95.60660248,,0.212834888,79105.2362,,1.636978923,,93.79198345
14130,-14.132328,0.19651,0.143474,0.730113,1.653892,94.76103137,,0.189723912,88781.3334,,1.629783268,,93.37970278
15850,-15.106611,0.175659,0.12829,0.730336,1.640141,93.97315711,,0.169195892,99588.403,,1.623394391,,93.01364707
17780,-16.138979,0.155974,0.11389,0.730186,1.626737,93.20516448,,0.150872643,111714.9404,,1.617693516,,92.68701103
19950,-17.124229,0.139248,0.101324,0.727655,1.61397,92.47366926,,0.134492319,125349.441,,1.612598433,,92.39508427
22390,-18.115074,0.124236,0.090404,0.727685,1.601417,91.75443534,,0.119857275,140680.4002,,1.608047138,,92.13431425
25120,-19.112293,0.110761,0.080068,0.722893,1.589009,91.04350931,,0.106846606,157833.4816,,1.60400165,,91.90252487
28180,-20.181295,0.097934,0.070748,0.722402,1.57699,90.35487133,,0.095255159,177060.0124,,1.600397908,,91.69604569
31620,-21.189972,0.087197,0.063763,0.731253,1.564623,89.64629443,,0.084899815,198674.1516,,1.597178793,,91.51160397
35480,-22.09011,0.078613,0.057516,0.731633,1.551617,88.90110552,,0.075668665,222927.2264,,1.594309381,,91.34719878
39810,-23.110507,0.0699,0.051154,0.731816,1.538437,88.14594715,,0.067442271,250133.3958,,1.591752451,,91.20069749
44670,-24.14172,0.062075,0.04544,0.732014,1.524866,87.36838612,,0.06010741,280669.6506,,1.589472744,,91.07007988
50120,-25.182107,0.055067,0.040312,0.732042,1.510577,86.54968673,,0.053573309,314912.9816,,1.587441998,,90.95372672
56230,-26.239205,0.048757,0.035689,0.731966,1.494871,85.64979922,,0.047753346,353303.2114,,1.585633259,,90.85009358
63100,-27.46049,0.042362,0.031015,0.732139,1.479356,84.7608552,,0.042555174,396468.658,,1.584017802,,90.75753471
70790,-28.565349,0.037302,0.027311,0.732156,1.461943,83.76316379,,0.037933037,444786.3122,,1.58258139,,90.6752344
79430,-29.699305,0.032737,0.023974,0.732324,1.442618,82.65592285,,0.033807353,499072.9874,,1.581299281,,90.60177496
89130,-30.880037,0.028576,0.020926,0.732289,1.421589,81.4510499,,0.030128447,560019.8334,,1.580156029,,90.53627143
100000,-32.107831,0.024809,0.01817,0.732404,1.398763,80.14321644,,0.026853727,628318,,1.579138391,,90.47796507
